,neighborhood,building_class_at_time_of_sale,block,lot,residential_units,tax_class_at_time_of_sale,year_built,sale_price,sale_date,building_class_1,building_class_2
2,AIRPORT LA GUARDIA,A5,949.0,30.0,1,1.0,1945-01-01,935000.0,2021-12-08,A,5
3,AIRPORT LA GUARDIA,A5,976.0,12.0,1,1.0,1950-01-01,800000.0,2021-01-11,A,5
5,AIRPORT LA GUARDIA,A5,976.0,26.0,1,1.0,1950-01-01,815000.0,2021-06-25,A,5
6,AIRPORT LA GUARDIA,A5,976.0,62.0,1,1.0,1950-01-01,950000.0,2021-08-17,A,5
11,ARVERNE,A2,15830.0,43.0,1,1.0,1920-01-01,397000.0,2021-07-09,A,2
12,ARVERNE,A6,15834.0,49.0,1,1.0,1920-01-01,270000.0,2021-12-29,A,6
13,ARVERNE,A2,15835.0,33.0,1,1.0,1920-01-01,470000.0,2021-11-22,A,2
14,ARVERNE,A2,15835.0,59.0,1,1.0,1920-01-01,735000.0,2021-04-30,A,2
16,ARVERNE,A2,15839.0,43.0,1,1.0,1920-01-01,431325.0,2021-05-21,A,2
17,ARVERNE,A6,15849.0,16.0,1,1.0,1920-01-01,570000.0,2021-06-21,A,6
20,ARVERNE,A2,15915.0,47.0,1,1.0,1925-01-01,205000.0,2021-06-03,A,2
21,ARVERNE,A9,15952.0,55.0,1,1.0,1910-01-01,280000.0,2021-07-20,A,9
22,ARVERNE,A5,15952.0,60.0,1,1.0,2003-01-01,499000.0,2021-10-04,A,5
24,ARVERNE,A1,15962.0,6.0,1,1.0,2004-01-01,383000.0,2021-07-06,A,1
26,ARVERNE,A6,15966.0,7.0,1,1.0,1899-01-01,180000.0,2021-02-18,A,6
28,ARVERNE,A6,15968.0,24.0,1,1.0,1920-01-01,456000.0,2021-07-14,A,6
29,ARVERNE,A6,15968.0,29.0,1,1.0,1920-01-01,420000.0,2021-09-24,A,6
31,ARVERNE,A2,15968.0,78.0,1,1.0,1920-01-01,375000.0,2021-09-20,A,2
32,ARVERNE,A1,15969.0,51.0,1,1.0,2004-01-01,387462.0,2021-12-07,A,1
33,ARVERNE,A1,15969.0,124.0,1,1.0,2005-01-01,490000.0,2021-05-28,A,1
34,ARVERNE,A2,16026.0,52.0,1,1.0,1960-01-01,448000.0,2021-02-24,A,2
35,ARVERNE,A9,16031.0,20.0,1,1.0,1960-01-01,470000.0,2021-07-07,A,9
36,ARVERNE,A2,16033.0,45.0,1,1.0,1965-01-01,505000.0,2021-02-04,A,2
37,ARVERNE,A9,16034.0,18.0,1,1.0,1950-01-01,505000.0,2021-07-14,A,9
38,ARVERNE,A9,16034.0,40.0,1,1.0,1950-01-01,441000.0,2021-03-04,A,9
39,ARVERNE,A1,16035.0,30.0,1,1.0,1931-01-01,335000.0,2021-03-04,A,1
40,ARVERNE,A1,16035.0,30.0,1,1.0,1931-01-01,505000.0,2021-09-22,A,1
41,ARVERNE,A9,16038.0,54.0,1,1.0,1960-01-01,499550.0,2021-04-23,A,9
43,ARVERNE,A6,16045.0,27.0,1,1.0,1930-01-01,320000.0,2021-03-02,A,6
44,ARVERNE,A1,16047.0,41.0,1,1.0,1920-01-01,540000.0,2021-06-29,A,1
49,ARVERNE,A6,16064.0,43.0,1,1.0,1930-01-01,380000.0,2021-03-24,A,6
50,ARVERNE,A2,16066.0,52.0,1,1.0,1930-01-01,230000.0,2021-03-09,A,2
186,ARVERNE,R3,15933.0,1012.0,1,1.0,2007-01-01,554000.0,2021-12-23,R,3
187,ARVERNE,R3,15933.0,1025.0,1,1.0,2007-01-01,340000.0,2021-06-03,R,3
188,ARVERNE,R3,15933.0,1026.0,1,1.0,2007-01-01,510000.0,2021-05-13,R,3
234,ASTORIA,A1,534.0,41.0,1,1.0,1920-01-01,999000.0,2021-10-20,A,1
236,ASTORIA,A5,565.0,50.0,1,1.0,1945-01-01,843000.0,2021-02-18,A,5
237,ASTORIA,A5,565.0,51.0,1,1.0,1945-01-01,874888.0,2021-09-22,A,5
244,ASTORIA,A1,630.0,27.0,1,1.0,1940-01-01,999000.0,2021-11-17,A,1
248,ASTORIA,A1,655.0,52.0,1,1.0,1910-01-01,860000.0,2021-02-10,A,1
250,ASTORIA,A5,659.0,34.0,1,1.0,1940-01-01,1250000.0,2021-08-25,A,5
252,ASTORIA,A5,659.0,132.0,1,1.0,1940-01-01,1050000.0,2021-11-30,A,5
255,ASTORIA,A5,690.0,154.0,1,1.0,1940-01-01,950000.0,2021-08-03,A,5
257,ASTORIA,A1,693.0,32.0,1,1.0,1920-01-01,925000.0,2021-02-25,A,1
259,ASTORIA,A5,702.0,119.0,1,1.0,1930-01-01,1055000.0,2021-05-21,A,5
260,ASTORIA,A5,708.0,65.0,1,1.0,1940-01-01,1100000.0,2021-05-25,A,5
263,ASTORIA,A9,715.0,52.0,1,1.0,1951-01-01,710000.0,2021-02-19,A,9
264,ASTORIA,A5,720.0,121.0,1,1.0,1940-01-01,987000.0,2021-01-19,A,5
265,ASTORIA,A5,721.0,6.0,1,1.0,1915-01-01,950000.0,2021-04-05,A,5
266,ASTORIA,A1,725.0,14.0,1,1.0,1920-01-01,815000.0,2021-10-15,A,1
267,ASTORIA,A2,727.0,45.0,1,1.0,1940-01-01,900000.0,2021-08-09,A,2
268,ASTORIA,A5,728.0,60.0,1,1.0,1901-01-01,800000.0,2021-01-27,A,5
270,ASTORIA,A5,739.0,84.0,1,1.0,1945-01-01,1180000.0,2021-04-28,A,5
272,ASTORIA,A2,742.0,43.0,1,1.0,1940-01-01,875000.0,2021-07-23,A,2
273,ASTORIA,A5,752.0,69.0,1,1.0,1945-01-01,1100000.0,2021-10-06,A,5
274,ASTORIA,A5,759.0,102.0,1,1.0,1965-01-01,1035000.0,2021-08-12,A,5
276,ASTORIA,A5,761.0,52.0,1,1.0,1989-01-01,999999.0,2021-03-09,A,5
277,ASTORIA,A2,761.0,60.0,1,1.0,1935-01-01,850000.0,2021-04-06,A,2
278,ASTORIA,A2,761.0,64.0,1,1.0,1930-01-01,575000.0,2021-05-24,A,2
279,ASTORIA,A2,762.0,45.0,1,1.0,1925-01-01,800000.0,2021-12-20,A,2
280,ASTORIA,A5,763.0,11.0,1,1.0,1950-01-01,1199000.0,2021-10-05,A,5
281,ASTORIA,A5,763.0,108.0,1,1.0,1950-01-01,710000.0,2021-03-05,A,5
282,ASTORIA,A5,770.0,26.0,1,1.0,1935-01-01,920000.0,2021-01-12,A,5
283,ASTORIA,A5,772.0,14.0,1,1.0,1940-01-01,840000.0,2021-07-06,A,5
284,ASTORIA,A5,772.0,25.0,1,1.0,1945-01-01,10.0,2021-07-28,A,5
285,ASTORIA,A5,772.0,71.0,1,1.0,1940-01-01,1299999.0,2021-09-01,A,5
286,ASTORIA,A1,773.0,45.0,1,1.0,1925-01-01,1370000.0,2021-05-03,A,1
287,ASTORIA,A5,784.0,43.0,1,1.0,1920-01-01,905000.0,2021-01-22,A,5
289,ASTORIA,A1,785.0,3.0,1,1.0,1920-01-01,1350000.0,2021-06-17,A,1
290,ASTORIA,A5,786.0,33.0,1,1.0,1940-01-01,900000.0,2021-12-29,A,5
291,ASTORIA,A5,787.0,18.0,1,1.0,1910-01-01,1345000.0,2021-06-17,A,5
296,ASTORIA,A5,793.0,80.0,1,1.0,1890-01-01,580000.0,2021-03-24,A,5
299,ASTORIA,A5,797.0,37.0,1,1.0,1920-01-01,1430000.0,2021-10-15,A,5
300,ASTORIA,A5,797.0,62.0,1,1.0,1930-01-01,990000.0,2021-12-16,A,5
301,ASTORIA,A1,799.0,64.0,1,1.0,1920-01-01,10.0,2021-03-08,A,1
304,ASTORIA,A5,808.0,51.0,1,1.0,1930-01-01,945000.0,2021-12-23,A,5
305,ASTORIA,A5,808.0,60.0,1,1.0,1930-01-01,1300000.0,2021-04-12,A,5
306,ASTORIA,A5,808.0,143.0,1,1.0,1930-01-01,955000.0,2021-07-27,A,5
308,ASTORIA,A5,820.0,15.0,1,1.0,1930-01-01,1365369.0,2021-09-09,A,5
309,ASTORIA,A5,822.0,144.0,1,1.0,1940-01-01,800000.0,2021-12-30,A,5
310,ASTORIA,A5,828.0,30.0,1,1.0,1935-01-01,970000.0,2021-06-29,A,5
313,ASTORIA,A5,848.0,23.0,1,1.0,1940-01-01,1400000.0,2021-06-17,A,5
314,ASTORIA,A5,849.0,20.0,1,1.0,1942-01-01,988000.0,2021-11-19,A,5
318,ASTORIA,A5,859.0,37.0,1,1.0,1945-01-01,10.0,2021-05-25,A,5
319,ASTORIA,A5,859.0,39.0,1,1.0,1945-01-01,440000.0,2021-12-20,A,5
321,ASTORIA,A5,859.0,56.0,1,1.0,1945-01-01,812500.0,2021-01-20,A,5
322,ASTORIA,A5,859.0,59.0,1,1.0,1945-01-01,810000.0,2021-03-05,A,5
323,ASTORIA,A5,859.0,76.0,1,1.0,1945-01-01,10.0,2021-09-26,A,5
324,ASTORIA,A5,859.0,82.0,1,1.0,1945-01-01,960000.0,2021-09-15,A,5
327,ASTORIA,A5,860.0,133.0,1,1.0,1930-01-01,889000.0,2021-06-14,A,5
328,ASTORIA,A5,865.0,27.0,1,1.0,1920-01-01,1575000.0,2021-08-10,A,5
330,ASTORIA,A5,875.0,35.0,1,1.0,1930-01-01,1315000.0,2021-03-09,A,5
332,ASTORIA,A5,875.0,52.0,1,1.0,1930-01-01,1400000.0,2021-07-29,A,5
333,ASTORIA,A5,876.0,70.0,1,1.0,1930-01-01,1325000.0,2021-04-13,A,5
335,ASTORIA,A5,878.0,8.0,1,1.0,1920-01-01,400000.0,2021-12-20,A,5
339,ASTORIA,A1,886.0,37.0,1,1.0,1920-01-01,845000.0,2021-07-12,A,1
340,ASTORIA,A2,887.0,16.0,1,1.0,1901-01-01,550000.0,2021-04-20,A,2
341,ASTORIA,A5,890.0,52.0,1,1.0,1920-01-01,1199000.0,2021-09-30,A,5
342,ASTORIA,A5,890.0,155.0,1,1.0,1920-01-01,1499999.0,2021-06-25,A,5
343,ASTORIA,A5,890.0,254.0,1,1.0,1935-01-01,1259500.0,2021-12-16,A,5
344,ASTORIA,A5,891.0,130.0,1,1.0,1950-01-01,661863.0,2021-12-06,A,5
345,ASTORIA,A5,896.0,33.0,1,1.0,1965-01-01,1500000.0,2021-09-10,A,5
348,ASTORIA,A5,1023.0,21.0,1,1.0,1940-01-01,725000.0,2021-03-01,A,5
809,ASTORIA,R6,532.0,1001.0,1,1.0,1950-01-01,1080000.0,2021-06-29,R,6
1077,ASTORIA,R2,518.0,1004.0,1,2.0,2004-01-01,475000.0,2021-04-19,R,2
1078,ASTORIA,R2,518.0,1009.0,1,2.0,2004-01-01,950000.0,2021-01-08,R,2
1079,ASTORIA,R4,503.0,1101.0,1,2.0,2007-01-01,1050000.0,2021-04-30,R,4
1080,ASTORIA,R4,503.0,1138.0,1,2.0,2007-01-01,740000.0,2021-10-14,R,4
1081,ASTORIA,R4,503.0,1152.0,1,2.0,2007-01-01,700000.0,2021-07-19,R,4
1082,ASTORIA,R4,503.0,1157.0,1,2.0,2007-01-01,750000.0,2021-09-22,R,4
1083,ASTORIA,R4,503.0,1169.0,1,2.0,2007-01-01,1440000.0,2021-12-28,R,4
1084,ASTORIA,R4,504.0,1026.0,1,2.0,2006-01-01,560000.0,2021-08-26,R,4
1085,ASTORIA,R4,504.0,1039.0,1,2.0,2006-01-01,780000.0,2021-09-02,R,4
1086,ASTORIA,R4,504.0,1058.0,1,2.0,2006-01-01,815000.0,2021-09-02,R,4
1087,ASTORIA,R4,531.0,1007.0,1,2.0,2007-01-01,570000.0,2021-07-08,R,4
1088,ASTORIA,R4,534.0,1007.0,1,2.0,2007-01-01,900000.0,2021-12-15,R,4
1089,ASTORIA,R4,534.0,1026.0,1,2.0,2007-01-01,900000.0,2021-05-05,R,4
1090,ASTORIA,R4,534.0,1030.0,1,2.0,2007-01-01,845000.0,2021-02-04,R,4
1091,ASTORIA,R4,534.0,1101.0,1,2.0,2019-01-01,514216.0,2021-02-24,R,4
1092,ASTORIA,R4,534.0,1102.0,1,2.0,2019-01-01,527871.0,2021-02-17,R,4
1093,ASTORIA,R4,534.0,1103.0,1,2.0,2019-01-01,592622.0,2021-05-20,R,4
1094,ASTORIA,R4,534.0,1104.0,1,2.0,2019-01-01,544764.0,2021-04-27,R,4
1095,ASTORIA,R4,534.0,1105.0,1,2.0,2019-01-01,558510.0,2021-04-19,R,4
1096,ASTORIA,R4,534.0,1106.0,1,2.0,2019-01-01,560038.0,2021-01-29,R,4
1097,ASTORIA,R4,534.0,1107.0,1,2.0,2019-01-01,585983.0,2021-01-13,R,4
1098,ASTORIA,R4,534.0,1109.0,1,2.0,2019-01-01,599635.0,2021-05-04,R,4
1099,ASTORIA,R4,534.0,1110.0,1,2.0,2019-01-01,722958.0,2021-07-28,R,4
1100,ASTORIA,R4,534.0,1111.0,1,2.0,2019-01-01,802381.0,2021-07-27,R,4
1101,ASTORIA,R4,534.0,1112.0,1,2.0,2019-01-01,628835.0,2021-07-19,R,4
1102,ASTORIA,R4,534.0,1113.0,1,2.0,2019-01-01,519308.0,2021-02-03,R,4
1103,ASTORIA,R4,534.0,1114.0,1,2.0,2019-01-01,545668.0,2021-06-01,R,4
1104,ASTORIA,R4,534.0,1115.0,1,2.0,2019-01-01,518301.0,2021-03-22,R,4
1105,ASTORIA,R4,534.0,1116.0,1,2.0,2019-01-01,580403.0,2021-03-16,R,4
1106,ASTORIA,R4,534.0,1117.0,1,2.0,2019-01-01,865513.0,2021-03-17,R,4
1107,ASTORIA,R4,534.0,1118.0,1,2.0,2019-01-01,702055.0,2021-05-10,R,4
1108,ASTORIA,R4,534.0,1119.0,1,2.0,2019-01-01,610950.0,2021-04-16,R,4
1109,ASTORIA,R4,534.0,1120.0,1,2.0,2019-01-01,559019.0,2021-03-03,R,4
1110,ASTORIA,R4,534.0,1121.0,1,2.0,2019-01-01,828856.0,2021-05-12,R,4
1111,ASTORIA,R4,534.0,1122.0,1,2.0,2019-01-01,600768.0,2021-06-08,R,4
1112,ASTORIA,R4,534.0,1123.0,1,2.0,2019-01-01,602003.0,2021-04-29,R,4
1113,ASTORIA,R4,534.0,1124.0,1,2.0,2019-01-01,692410.0,2021-03-09,R,4
1114,ASTORIA,R4,534.0,1125.0,1,2.0,2019-01-01,791180.0,2021-03-04,R,4
1115,ASTORIA,R4,534.0,1126.0,1,2.0,2019-01-01,651680.0,2021-05-07,R,4
1116,ASTORIA,R4,534.0,1127.0,1,2.0,2019-01-01,423867.0,2021-03-02,R,4
1117,ASTORIA,R4,534.0,1128.0,1,2.0,2019-01-01,567300.0,2021-01-14,R,4
1118,ASTORIA,R4,534.0,1129.0,1,2.0,2019-01-01,578366.0,2021-02-16,R,4
1119,ASTORIA,R4,534.0,1130.0,1,2.0,2019-01-01,636203.0,2021-04-26,R,4
1120,ASTORIA,R4,534.0,1131.0,1,2.0,2019-01-01,840056.0,2021-01-08,R,4
1121,ASTORIA,R4,534.0,1132.0,1,2.0,2019-01-01,796597.0,2021-01-15,R,4
1122,ASTORIA,R4,534.0,1133.0,1,2.0,2019-01-01,580403.0,2021-02-19,R,4
1123,ASTORIA,R4,534.0,1134.0,1,2.0,2019-01-01,595817.0,2021-01-07,R,4
1124,ASTORIA,R4,534.0,1135.0,1,2.0,2019-01-01,855330.0,2021-01-21,R,4
1125,ASTORIA,R4,534.0,1136.0,1,2.0,2019-01-01,580403.0,2021-03-01,R,4
1126,ASTORIA,R4,534.0,1137.0,1,2.0,2019-01-01,605916.0,2021-05-28,R,4
1127,ASTORIA,R4,534.0,1139.0,1,2.0,2019-01-01,790162.0,2021-02-18,R,4
1128,ASTORIA,R4,534.0,1140.0,1,2.0,2019-01-01,672045.0,2021-03-01,R,4
1129,ASTORIA,R4,534.0,1141.0,1,2.0,2019-01-01,547819.0,2021-02-08,R,4
1130,ASTORIA,R4,534.0,1142.0,1,2.0,2019-01-01,580403.0,2021-01-29,R,4
1131,ASTORIA,R4,534.0,1143.0,1,2.0,2019-01-01,565000.0,2021-02-11,R,4
1132,ASTORIA,R4,534.0,1144.0,1,2.0,2019-01-01,588752.0,2021-04-29,R,4
1133,ASTORIA,R4,534.0,1145.0,1,2.0,2019-01-01,872640.0,2021-06-14,R,4
1134,ASTORIA,R4,534.0,1146.0,1,2.0,2019-01-01,842495.0,2021-08-13,R,4
1135,ASTORIA,R4,534.0,1147.0,1,2.0,2019-01-01,581983.0,2021-02-26,R,4
1136,ASTORIA,R4,534.0,1148.0,1,2.0,2019-01-01,682228.0,2021-02-11,R,4
1137,ASTORIA,R4,534.0,1149.0,1,2.0,2019-01-01,875695.0,2021-09-10,R,4
1138,ASTORIA,R4,534.0,1150.0,1,2.0,2019-01-01,621133.0,2021-04-05,R,4
1139,ASTORIA,R4,534.0,1151.0,1,2.0,2019-01-01,602804.0,2021-08-05,R,4
1140,ASTORIA,R4,534.0,1152.0,1,2.0,2019-01-01,790162.0,2021-04-07,R,4
1141,ASTORIA,R4,534.0,1153.0,1,2.0,2019-01-01,860421.0,2021-07-16,R,4
1142,ASTORIA,R4,534.0,1155.0,1,2.0,2019-01-01,1118324.0,2021-07-21,R,4
1143,ASTORIA,R4,534.0,1157.0,1,2.0,2019-01-01,793284.0,2021-09-17,R,4
1144,ASTORIA,R4,534.0,1158.0,1,2.0,2019-01-01,831910.0,2021-08-30,R,4
1145,ASTORIA,R4,534.0,1159.0,1,2.0,2019-01-01,651680.0,2021-02-11,R,4
1146,ASTORIA,R4,534.0,1160.0,1,2.0,2019-01-01,656771.0,2021-03-18,R,4
1147,ASTORIA,R4,534.0,1161.0,1,2.0,2019-01-01,858904.0,2021-04-26,R,4
1148,ASTORIA,R4,534.0,1162.0,1,2.0,2019-01-01,972429.0,2021-05-14,R,4
1149,ASTORIA,R4,534.0,1163.0,1,2.0,2019-01-01,845000.0,2021-08-20,R,4
1150,ASTORIA,R4,534.0,1164.0,1,2.0,2019-01-01,865513.0,2021-05-26,R,4
1151,ASTORIA,R4,539.0,1016.0,1,2.0,2005-01-01,530000.0,2021-06-17,R,4
1152,ASTORIA,R4,549.0,1003.0,1,2.0,2007-01-01,1130258.0,2021-07-15,R,4
1154,ASTORIA,R4,549.0,1007.0,1,2.0,2007-01-01,670000.0,2021-06-09,R,4
1155,ASTORIA,R4,549.0,1111.0,1,2.0,2007-01-01,795000.0,2021-09-01,R,4
1156,ASTORIA,R4,549.0,1120.0,1,2.0,2007-01-01,640000.0,2021-09-30,R,4
1157,ASTORIA,R4,549.0,1210.0,1,2.0,2014-01-01,710000.0,2021-06-07,R,4
1168,ASTORIA,R4,567.0,1008.0,1,2.0,2008-01-01,698500.0,2021-02-25,R,4
1169,ASTORIA,R4,569.0,1008.0,1,2.0,2012-01-01,665000.0,2021-07-20,R,4
1170,ASTORIA,R4,569.0,1203.0,1,2.0,2018-01-01,760633.0,2021-07-02,R,4
1171,ASTORIA,R4,569.0,1204.0,1,2.0,2018-01-01,715000.0,2021-12-02,R,4
1172,ASTORIA,R4,569.0,1205.0,1,2.0,2018-01-01,690000.0,2021-08-05,R,4
1173,ASTORIA,R4,569.0,1206.0,1,2.0,2018-01-01,647000.0,2021-06-29,R,4
1174,ASTORIA,R4,569.0,1207.0,1,2.0,2018-01-01,752500.0,2021-06-28,R,4
1175,ASTORIA,R4,569.0,1208.0,1,2.0,2018-01-01,719000.0,2021-11-03,R,4
1176,ASTORIA,R4,569.0,1209.0,1,2.0,2018-01-01,762669.0,2021-07-08,R,4
1177,ASTORIA,R4,569.0,1210.0,1,2.0,2018-01-01,689000.0,2021-08-03,R,4
1178,ASTORIA,R4,569.0,1211.0,1,2.0,2018-01-01,742500.0,2021-06-28,R,4
1179,ASTORIA,R4,569.0,1212.0,1,2.0,2018-01-01,715000.0,2021-07-15,R,4
1180,ASTORIA,R4,569.0,1213.0,1,2.0,2018-01-01,745000.0,2021-06-29,R,4
1181,ASTORIA,R4,569.0,1214.0,1,2.0,2018-01-01,675000.0,2021-06-28,R,4
1182,ASTORIA,R4,569.0,1215.0,1,2.0,2018-01-01,715000.0,2021-07-14,R,4
1183,ASTORIA,R4,569.0,1216.0,1,2.0,2018-01-01,720000.0,2021-06-28,R,4
1184,ASTORIA,R4,569.0,1217.0,1,2.0,2018-01-01,735000.0,2021-06-30,R,4
1185,ASTORIA,R4,569.0,1218.0,1,2.0,2018-01-01,750000.0,2021-12-09,R,4
1186,ASTORIA,R4,569.0,1219.0,1,2.0,2018-01-01,725000.0,2021-11-23,R,4
1187,ASTORIA,R4,569.0,1220.0,1,2.0,2018-01-01,720000.0,2021-08-03,R,4
1188,ASTORIA,R4,569.0,1221.0,1,2.0,2018-01-01,1007049.0,2021-06-29,R,4
1189,ASTORIA,R4,569.0,1222.0,1,2.0,2018-01-01,1090000.0,2021-06-28,R,4
1190,ASTORIA,R4,569.0,1223.0,1,2.0,2018-01-01,798000.0,2021-09-03,R,4
1191,ASTORIA,R4,569.0,1224.0,1,2.0,2018-01-01,599000.0,2021-06-29,R,4
1192,ASTORIA,R4,569.0,1225.0,1,2.0,2018-01-01,615000.0,2021-09-14,R,4
1195,ASTORIA,R4,570.0,1023.0,1,2.0,2006-01-01,520000.0,2021-10-07,R,4
1196,ASTORIA,R4,570.0,1501.0,1,2.0,2019-01-01,600000.0,2021-09-30,R,4
1197,ASTORIA,R4,570.0,1502.0,1,2.0,2019-01-01,665000.0,2021-09-28,R,4
1198,ASTORIA,R4,570.0,1503.0,1,2.0,2019-01-01,630000.0,2021-11-22,R,4
1199,ASTORIA,R4,570.0,1504.0,1,2.0,2019-01-01,626430.0,2021-09-24,R,4
1200,ASTORIA,R4,570.0,1505.0,1,2.0,2019-01-01,687319.0,2021-09-27,R,4
1201,ASTORIA,R4,570.0,1506.0,1,2.0,2019-01-01,651680.0,2021-10-05,R,4
1202,ASTORIA,R4,570.0,1507.0,1,2.0,2019-01-01,666954.0,2021-10-08,R,4
1203,ASTORIA,R4,570.0,1508.0,1,2.0,2019-01-01,706846.0,2021-09-23,R,4
1204,ASTORIA,R4,570.0,1509.0,1,2.0,2019-01-01,640000.0,2021-11-22,R,4
1205,ASTORIA,R4,570.0,1510.0,1,2.0,2019-01-01,709000.0,2021-09-27,R,4
1206,ASTORIA,R4,570.0,1511.0,1,2.0,2019-01-01,685196.0,2021-10-01,R,4
1207,ASTORIA,R4,570.0,1512.0,1,2.0,2019-01-01,721524.0,2021-10-06,R,4
1208,ASTORIA,R4,570.0,1513.0,1,2.0,2019-01-01,765000.0,2021-10-14,R,4
1209,ASTORIA,R4,570.0,1514.0,1,2.0,2019-01-01,672255.0,2021-09-23,R,4
1210,ASTORIA,R4,571.0,1138.0,1,2.0,1988-01-01,440000.0,2021-07-29,R,4
1211,ASTORIA,R4,571.0,1160.0,1,2.0,1988-01-01,428000.0,2021-10-08,R,4
1212,ASTORIA,R4,573.0,1005.0,1,2.0,2007-01-01,529000.0,2021-06-18,R,4
1213,ASTORIA,R4,573.0,1103.0,1,2.0,1940-01-01,967500.0,2021-09-27,R,4
1214,ASTORIA,R4,574.0,1002.0,1,2.0,2009-01-01,595000.0,2021-07-16,R,4
1229,ASTORIA,R4,613.0,1059.0,1,2.0,1957-01-01,940000.0,2021-07-29,R,4
1230,ASTORIA,R4,613.0,1062.0,1,2.0,1957-01-01,642500.0,2021-05-06,R,4
1231,ASTORIA,R4,613.0,1090.0,1,2.0,1957-01-01,565000.0,2021-04-19,R,4
1232,ASTORIA,R4,619.0,1027.0,1,2.0,2017-01-01,840000.0,2021-05-03,R,4
1233,ASTORIA,R4,631.0,1003.0,1,2.0,2019-01-01,575000.0,2021-12-30,R,4
1234,ASTORIA,R4,631.0,1012.0,1,2.0,2019-01-01,682228.0,2021-12-29,R,4
1235,ASTORIA,R4,631.0,1013.0,1,2.0,2019-01-01,690000.0,2021-12-29,R,4
1236,ASTORIA,R4,633.0,1118.0,1,2.0,2008-01-01,650000.0,2021-03-01,R,4
1237,ASTORIA,R4,642.0,1005.0,1,2.0,2015-01-01,999999.0,2021-02-08,R,4
1238,ASTORIA,R4,642.0,1006.0,1,2.0,2015-01-01,755000.0,2021-04-26,R,4
1239,ASTORIA,R4,642.0,1016.0,1,2.0,2015-01-01,741000.0,2021-09-14,R,4
1242,ASTORIA,R4,653.0,1306.0,1,2.0,2013-01-01,657000.0,2021-06-30,R,4
1243,ASTORIA,R4,653.0,1313.0,1,2.0,2013-01-01,915000.0,2021-06-30,R,4
1244,ASTORIA,R4,657.0,1008.0,1,2.0,2008-01-01,820000.0,2021-10-18,R,4
1245,ASTORIA,R4,660.0,1007.0,1,2.0,2007-01-01,655000.0,2021-01-21,R,4
1248,ASTORIA,R4,831.0,1159.0,1,2.0,2019-01-01,738231.0,2021-12-17,R,4
1249,ASTORIA,R4,831.0,1160.0,1,2.0,2019-01-01,804418.0,2021-12-21,R,4
1250,ASTORIA,R4,831.0,1164.0,1,2.0,2019-01-01,870000.0,2021-12-27,R,4
1251,ASTORIA,R4,831.0,1165.0,1,2.0,2019-01-01,1447495.0,2021-12-20,R,4
1252,ASTORIA,R4,831.0,1167.0,1,2.0,2019-01-01,1282500.0,2021-12-22,R,4
1253,ASTORIA,R4,831.0,1169.0,1,2.0,2019-01-01,555000.0,2021-12-17,R,4
1254,ASTORIA,R4,831.0,1170.0,1,2.0,2019-01-01,767304.0,2021-12-17,R,4
1255,ASTORIA,R4,831.0,1178.0,1,2.0,2019-01-01,1575357.0,2021-12-16,R,4
1256,ASTORIA,R4,831.0,1184.0,1,2.0,2019-01-01,871464.0,2021-12-27,R,4
1257,ASTORIA,R4,831.0,1185.0,1,2.0,2019-01-01,1569050.0,2021-12-28,R,4
1258,ASTORIA,R4,831.0,1186.0,1,2.0,2019-01-01,1392617.0,2021-12-23,R,4
1259,ASTORIA,R4,831.0,1189.0,1,2.0,2019-01-01,1415000.0,2021-12-30,R,4
1260,ASTORIA,R4,831.0,1190.0,1,2.0,2019-01-01,1095350.0,2021-12-23,R,4
1261,ASTORIA,R4,837.0,1007.0,1,2.0,2017-01-01,650000.0,2021-07-26,R,4
1262,ASTORIA,R4,837.0,1015.0,1,2.0,2017-01-01,800000.0,2021-07-26,R,4
1263,ASTORIA,R4,837.0,1020.0,1,2.0,2017-01-01,665000.0,2021-07-26,R,4
1264,ASTORIA,R4,837.0,1028.0,1,2.0,2017-01-01,825000.0,2021-07-26,R,4
1265,ASTORIA,R4,881.0,1012.0,1,2.0,2008-01-01,599000.0,2021-06-09,R,4
1266,ASTORIA,R4,881.0,1018.0,1,2.0,2008-01-01,730000.0,2021-12-14,R,4
1277,ASTORIA,R4,905.0,1015.0,1,2.0,1989-01-01,670000.0,2021-08-13,R,4
1278,ASTORIA,R4,905.0,1065.0,1,2.0,1989-01-01,410000.0,2021-11-23,R,4
1282,ASTORIA,R4,905.0,1138.0,1,2.0,1989-01-01,765000.0,2021-10-20,R,4
1283,ASTORIA,R4,905.0,1139.0,1,2.0,1989-01-01,692500.0,2021-02-24,R,4
1284,ASTORIA,R4,905.0,1166.0,1,2.0,1989-01-01,10.0,2021-03-17,R,4
1285,ASTORIA,R4,905.0,1196.0,1,2.0,1989-01-01,845000.0,2021-06-08,R,4
1286,ASTORIA,R4,905.0,1197.0,1,2.0,1989-01-01,720000.0,2021-07-09,R,4
1289,ASTORIA,R4,905.0,1210.0,1,2.0,1989-01-01,685000.0,2021-04-29,R,4
1290,ASTORIA,R4,905.0,1244.0,1,2.0,1989-01-01,815000.0,2021-02-12,R,4
1291,ASTORIA,R4,905.0,1251.0,1,2.0,1989-01-01,610000.0,2021-08-18,R,4
1292,ASTORIA,R4,905.0,1260.0,1,2.0,1989-01-01,740000.0,2021-07-22,R,4
1293,ASTORIA,R4,905.0,1268.0,1,2.0,1989-01-01,530000.0,2021-07-07,R,4
